"COUPON_ID","INSTRUMENT_ID","PERIOD_START_DATE","PERIOD_END_DATE","PAYMENT_DATE","COUPON_TYPE","COUPON_RATE","DAY_COUNT_BASIS","DAYS_IN_PERIOD","COUPON_NUMBER","COUPON_AMOUNT","REFERENCE_RATE_NAME","REFERENCE_RATE","SPREAD_RATE"
8988,887,2027-01-03,2027-03-27,2027-03-27,"FIXED",0.055911,"30/360",83,17,12.71,"",,
8989,888,2023-08-05,2024-02-05,2024-02-05,"FLOATING",0.05112,"ACT/360",184,1,25.77,"SONIA",0.048014,0.003106
8990,888,2024-02-05,2024-08-05,2024-08-05,"FLOATING",0.048173,"ACT/360",182,2,24.02,"SONIA",0.041177,0.006996
8991,888,2024-08-05,2025-02-05,2025-02-05,"FLOATING",0.04298,"ACT/360",184,3,21.67,"SONIA",0.035346,0.007634
8992,888,2025-02-05,2025-08-05,2025-08-05,"FLOATING",0.054109,"ACT/360",181,4,26.83,"SONIA",0.039402,0.014707
8993,888,2025-08-05,2026-02-05,2026-02-05,"FLOATING",0.050417,"ACT/360",184,5,25.42,"SONIA",0.040873,0.009544
8994,888,2026-02-05,2026-08-05,2026-08-05,"FLOATING",0.053471,"ACT/360",181,6,26.52,"SONIA",0.043404,0.010067
8995,888,2026-08-05,2027-02-05,2027-02-05,"FLOATING",0.029875,"ACT/360",184,7,15.06,"SONIA",0.025098,0.004777
8996,888,2027-02-05,2027-08-05,2027-08-05,"FLOATING",0.052442,"ACT/360",181,8,26.01,"SONIA",0.039107,0.013335
8997,888,2027-08-05,2028-02-05,2028-02-05,"FLOATING",0.053384,"ACT/360",184,9,26.91,"SONIA",0.039957,0.013427
8998,888,2028-02-05,2028-08-05,2028-08-05,"FLOATING",0.02806,"ACT/360",182,10,13.99,"SONIA",0.021363,0.006697
8999,888,2028-08-05,2029-02-05,2029-02-05,"FLOATING",0.044455,"ACT/360",184,11,22.41,"SONIA",0.032966,0.011489
9000,888,2029-02-05,2029-08-05,2029-08-05,"FLOATING",0.040672,"ACT/360",181,12,20.17,"SONIA",0.029808,0.010864
9001,888,2029-08-05,2030-02-05,2030-02-05,"FLOATING",0.058458,"ACT/360",184,13,29.47,"SONIA",0.04852,0.009938
9002,888,2030-02-05,2030-08-05,2030-08-05,"FLOATING",0.030039,"ACT/360",181,14,14.9,"SONIA",0.022762,0.007277
9003,888,2030-08-05,2031-02-05,2031-02-05,"FLOATING",0.038553,"ACT/360",184,15,19.43,"SONIA",0.023444,0.015109
9004,888,2031-02-05,2031-08-05,2031-08-05,"FLOATING",0.032259,"ACT/360",181,16,16,"SONIA",0.014653,0.017606
9005,888,2031-08-05,2032-02-05,2032-02-05,"FLOATING",0.050283,"ACT/360",184,17,25.35,"SONIA",0.032574,0.017709
9006,888,2032-02-05,2032-07-01,2032-07-01,"FLOATING",0.066822,"ACT/360",147,18,26.91,"SONIA",0.052178,0.014644
9007,889,2024-01-06,2024-07-06,2024-07-06,"FIXED",0.059877,"30/360",182,1,29.86,"",,
9008,889,2024-07-06,2025-01-06,2025-01-06,"FIXED",0.084816,"30/360",184,2,42.76,"",,
9009,889,2025-01-06,2025-07-06,2025-07-06,"FIXED",0.026345,"30/360",181,3,13.06,"",,
9010,889,2025-07-06,2026-01-06,2026-01-06,"FIXED",0.025732,"30/360",184,4,12.97,"",,
9011,889,2026-01-06,2026-07-06,2026-07-06,"FIXED",0.04982,"30/360",181,5,24.71,"",,
9012,889,2026-07-06,2027-01-06,2027-01-06,"FIXED",0.025997,"30/360",184,6,13.11,"",,
9013,889,2027-01-06,2027-07-06,2027-07-06,"FIXED",0.083292,"30/360",181,7,41.3,"",,
9014,889,2027-07-06,2028-01-06,2028-01-06,"FIXED",0.043121,"30/360",184,8,21.74,"",,
9015,889,2028-01-06,2028-07-06,2028-07-06,"FIXED",0.0331,"30/360",182,9,16.5,"",,
9016,889,2028-07-06,2029-01-06,2029-01-06,"FIXED",0.061344,"30/360",184,10,30.92,"",,
9017,889,2029-01-06,2029-07-06,2029-07-06,"FIXED",0.034856,"30/360",181,11,17.28,"",,
9018,889,2029-07-06,2030-01-06,2030-01-06,"FIXED",0.025677,"30/360",184,12,12.94,"",,
9019,889,2030-01-06,2030-07-06,2030-07-06,"FIXED",0.076318,"30/360",181,13,37.85,"",,
9020,889,2030-07-06,2031-01-06,2031-01-06,"FIXED",0.063879,"30/360",184,14,32.2,"",,
9021,889,2031-01-06,2031-07-06,2031-07-06,"FIXED",0.079736,"30/360",181,15,39.54,"",,
9022,889,2031-07-06,2032-01-06,2032-01-06,"FIXED",0.062539,"30/360",184,16,31.53,"",,
9023,889,2032-01-06,2032-07-06,2032-07-06,"FIXED",0.071503,"30/360",182,17,35.65,"",,
9024,889,2032-07-06,2033-01-06,2033-01-06,"FIXED",0.050407,"30/360",184,18,25.41,"",,
9025,889,2033-01-06,2033-07-06,2033-07-06,"FIXED",0.020383,"30/360",181,19,10.11,"",,
9026,889,2033-07-06,2033-10-01,2033-10-01,"FIXED",0.064053,"30/360",87,20,15.27,"",,
9027,890,2021-06-10,2022-06-10,2022-06-10,"FIXED",0.050173,"30/360",365,1,50.17,"",,
9028,890,2022-06-10,2023-06-10,2023-06-10,"FIXED",0.08335,"30/360",365,2,83.35,"",,
9029,890,2023-06-10,2024-06-10,2024-06-10,"FIXED",0.054949,"30/360",366,3,55.1,"",,
9030,890,2024-06-10,2025-06-10,2025-06-10,"FIXED",0.075339,"30/360",365,4,75.34,"",,
9031,890,2025-06-10,2026-06-10,2026-06-10,"FIXED",0.017889,"30/360",365,5,17.89,"",,
9032,890,2026-06-10,2026-10-14,2026-10-14,"FIXED",0.067976,"30/360",126,6,23.47,"",,
9033,891,2021-09-15,2022-09-15,2022-09-15,"FIXED",0.055108,"ACT/360",365,1,55.11,"",,
9034,891,2022-09-15,2023-09-15,2023-09-15,"FIXED",0.028139,"ACT/360",365,2,28.14,"",,
9035,891,2023-09-15,2024-09-15,2024-09-15,"FIXED",0.035429,"ACT/360",366,3,35.53,"",,
9036,891,2024-09-15,2025-09-15,2025-09-15,"FIXED",0.062571,"ACT/360",365,4,62.57,"",,
9037,891,2025-09-15,2026-09-15,2026-09-15,"FIXED",0.025544,"ACT/360",365,5,25.54,"",,
9038,891,2026-09-15,2027-09-15,2027-09-15,"FIXED",0.083362,"ACT/360",365,6,83.36,"",,
9039,891,2027-09-15,2028-09-15,2028-09-15,"FIXED",0.025615,"ACT/360",366,7,25.69,"",,
9040,891,2028-09-15,2029-06-29,2029-06-29,"FIXED",0.071623,"ACT/360",287,8,56.32,"",,
9041,892,2023-02-11,2023-08-11,2023-08-11,"FIXED",0.069813,"30/360",181,1,34.62,"",,
9042,892,2023-08-11,2024-02-11,2024-02-11,"FIXED",0.026421,"30/360",184,2,13.32,"",,
9043,892,2024-02-11,2024-08-11,2024-08-11,"FIXED",0.070435,"30/360",182,3,35.12,"",,
9044,892,2024-08-11,2025-02-11,2025-02-11,"FIXED",0.030968,"30/360",184,4,15.61,"",,
9045,892,2025-02-11,2025-08-11,2025-08-11,"FIXED",0.061389,"30/360",181,5,30.44,"",,
9046,892,2025-08-11,2026-02-11,2026-02-11,"FIXED",0.068826,"30/360",184,6,34.7,"",,
9047,892,2026-02-11,2026-08-11,2026-08-11,"FIXED",0.028246,"30/360",181,7,14.01,"",,
9048,892,2026-08-11,2027-02-11,2027-02-11,"FIXED",0.065669,"30/360",184,8,33.1,"",,
9049,892,2027-02-11,2027-08-11,2027-08-11,"FIXED",0.060149,"30/360",181,9,29.83,"",,
9050,892,2027-08-11,2028-02-11,2028-02-11,"FIXED",0.066238,"30/360",184,10,33.39,"",,
9051,892,2028-02-11,2028-08-11,2028-08-11,"FIXED",0.024749,"30/360",182,11,12.34,"",,
9052,892,2028-08-11,2029-02-11,2029-02-11,"FIXED",0.029588,"30/360",184,12,14.92,"",,
9053,892,2029-02-11,2029-08-11,2029-08-11,"FIXED",0.08306,"30/360",181,13,41.19,"",,
9054,892,2029-08-11,2030-02-11,2030-02-11,"FIXED",0.022415,"30/360",184,14,11.3,"",,
9055,892,2030-02-11,2030-08-11,2030-08-11,"FIXED",0.031385,"30/360",181,15,15.56,"",,
9056,892,2030-08-11,2031-02-11,2031-02-11,"FIXED",0.027622,"30/360",184,16,13.92,"",,
9057,892,2031-02-11,2031-08-11,2031-08-11,"FIXED",0.054745,"30/360",181,17,27.15,"",,
9058,892,2031-08-11,2032-01-13,2032-01-13,"FIXED",0.015288,"30/360",155,18,6.49,"",,
9059,893,2021-04-25,2021-07-25,2021-07-25,"FIXED",0.07444,"ACT/365",91,1,18.56,"",,
9060,893,2021-07-25,2021-10-25,2021-10-25,"FIXED",0.050559,"ACT/365",92,2,12.74,"",,
9061,893,2021-10-25,2022-01-25,2022-01-25,"FIXED",0.05451,"ACT/365",92,3,13.74,"",,
9062,893,2022-01-25,2022-04-25,2022-04-25,"FIXED",0.062765,"ACT/365",90,4,15.48,"",,
9063,893,2022-04-25,2022-07-25,2022-07-25,"FIXED",0.067792,"ACT/365",91,5,16.9,"",,
9064,893,2022-07-25,2022-10-25,2022-10-25,"FIXED",0.066453,"ACT/365",92,6,16.75,"",,
9065,893,2022-10-25,2023-01-25,2023-01-25,"FIXED",0.038871,"ACT/365",92,7,9.8,"",,
9066,893,2023-01-25,2023-04-25,2023-04-25,"FIXED",0.070249,"ACT/365",90,8,17.32,"",,
9067,893,2023-04-25,2023-07-25,2023-07-25,"FIXED",0.073568,"ACT/365",91,9,18.34,"",,
9068,893,2023-07-25,2023-10-25,2023-10-25,"FIXED",0.023836,"ACT/365",92,10,6.01,"",,
9069,893,2023-10-25,2024-01-25,2024-01-25,"FIXED",0.041483,"ACT/365",92,11,10.46,"",,
9070,893,2024-01-25,2024-04-25,2024-04-25,"FIXED",0.043715,"ACT/365",91,12,10.9,"",,
9071,893,2024-04-25,2024-07-25,2024-07-25,"FIXED",0.047967,"ACT/365",91,13,11.96,"",,
9072,893,2024-07-25,2024-10-25,2024-10-25,"FIXED",0.019669,"ACT/365",92,14,4.96,"",,
9073,893,2024-10-25,2025-01-25,2025-01-25,"FIXED",0.037097,"ACT/365",92,15,9.35,"",,
9074,893,2025-01-25,2025-04-25,2025-04-25,"FIXED",0.061752,"ACT/365",90,16,15.23,"",,
9075,893,2025-04-25,2025-07-25,2025-07-25,"FIXED",0.079847,"ACT/365",91,17,19.91,"",,
9076,893,2025-07-25,2025-10-04,2025-10-04,"FIXED",0.056125,"ACT/365",71,18,10.92,"",,
9077,894,2021-08-02,2022-08-02,2022-08-02,"FLOATING",0.050098,"30/360",365,1,50.1,"BUBOR",0.030163,0.019935
9078,894,2022-08-02,2023-08-02,2023-08-02,"FLOATING",0.035328,"30/360",365,2,35.33,"BUBOR",0.020334,0.014994
