"CUSTOMER_ID","CUSTOMER_NAME","CUSTOMER_TYPE","IS_OWN_BOOK","COUNTRY"
1,"GLFLOW BANK","OWN_BOOK","Y","Hungary"
2,"Customer A","CLIENT","N","Hungary"
3,"Customer B","CLIENT","N","Germany"
21,"GLFLOW BANK","OWN_BOOK","Y","Germany"
22,"Customer A","CLIENT","N","France"
23,"Customer B","CLIENT","N","Germany"
24,"Customer C","CLIENT","N","United Kingdom"
25,"Customer D","CLIENT","N","United States"
26,"Customer E","CLIENT","N","Austria"
27,"Customer F","CLIENT","N","Netherlands"
28,"Customer G","CLIENT","N","Switzerland"
29,"Customer H","CLIENT","N","France"
30,"Customer I","CLIENT","N","Germany"
31,"Customer J","CLIENT","N","United Kingdom"
