"CURRENCY","RATE_DATE","FX_RATE_TO_EUR"
"GBP",2024-04-13,1.18206178
"GBP",2024-04-14,1.17325438
"GBP",2024-04-15,1.19585997
"GBP",2024-04-16,1.15593275
"GBP",2024-04-17,1.19305729
"GBP",2024-04-18,1.18930721
"GBP",2024-04-19,1.13072269
"GBP",2024-04-20,1.17441369
"GBP",2024-04-21,1.16483251
"GBP",2024-04-22,1.20716225
"GBP",2024-04-23,1.20803125
"GBP",2024-04-24,1.19516544
"GBP",2024-04-25,1.13593431
"GBP",2024-04-26,1.14478538
"GBP",2024-04-27,1.1604001
"GBP",2024-04-28,1.16792836
"GBP",2024-04-29,1.14082826
"GBP",2024-04-30,1.13615885
"GBP",2024-05-01,1.20185091
"GBP",2024-05-02,1.14947839
"GBP",2024-05-03,1.20454284
"GBP",2024-05-04,1.15273234
"GBP",2024-05-05,1.1535585
"GBP",2024-05-06,1.19215501
"GBP",2024-05-07,1.20079391
"GBP",2024-05-08,1.19976875
"GBP",2024-05-09,1.14897112
"GBP",2024-05-10,1.14082555
"GBP",2024-05-11,1.17297454
"GBP",2024-05-12,1.17881265
"GBP",2024-05-13,1.13102497
"GBP",2024-05-14,1.16476365
"GBP",2024-05-15,1.1388043
"GBP",2024-05-16,1.13341252
"GBP",2024-05-17,1.19354236
"GBP",2024-05-18,1.16554187
"GBP",2024-05-19,1.13694994
"GBP",2024-05-20,1.16098496
"GBP",2024-05-21,1.16627035
"GBP",2024-05-22,1.13050635
"GBP",2024-05-23,1.17785453
"GBP",2024-05-24,1.1440477
"GBP",2024-05-25,1.16037448
"GBP",2024-05-26,1.16847752
"GBP",2024-05-27,1.18973834
"GBP",2024-05-28,1.13960449
"GBP",2024-05-29,1.20041088
"GBP",2024-05-30,1.16466599
"GBP",2024-05-31,1.20339611
"GBP",2024-06-01,1.16497166
"GBP",2024-06-02,1.18759633
"GBP",2024-06-03,1.20873058
"GBP",2024-06-04,1.16302082
"GBP",2024-06-05,1.17528861
"GBP",2024-06-06,1.13467848
"GBP",2024-06-07,1.17285569
"GBP",2024-06-08,1.16302313
"GBP",2024-06-09,1.13483109
"GBP",2024-06-10,1.16675829
"GBP",2024-06-11,1.15603183
"GBP",2024-06-12,1.15811986
"GBP",2024-06-13,1.13174765
"GBP",2024-06-14,1.20917734
"GBP",2024-06-15,1.17363681
"GBP",2024-06-16,1.13057477
"GBP",2024-06-17,1.19157361
"GBP",2024-06-18,1.1507073
"GBP",2024-06-19,1.14288425
"GBP",2024-06-20,1.17577035
"GBP",2024-06-21,1.19667044
"GBP",2024-06-22,1.16843471
"GBP",2024-06-23,1.1886828
"GBP",2024-06-24,1.15020655
"GBP",2024-06-25,1.15222539
"GBP",2024-06-26,1.1879559
"GBP",2024-06-27,1.18428118
"GBP",2024-06-28,1.16233683
"GBP",2024-06-29,1.14396938
"GBP",2024-06-30,1.146821
"GBP",2024-07-01,1.19419002
"GBP",2024-07-02,1.15474041
"GBP",2024-07-03,1.20656745
"GBP",2024-07-04,1.13955613
"GBP",2024-07-05,1.20599536
"GBP",2024-07-06,1.14410126
"GBP",2024-07-07,1.13570344
"GBP",2024-07-08,1.20761934
"GBP",2024-07-09,1.17182743
"GBP",2024-07-10,1.13824361
"GBP",2024-07-11,1.15030065
"GBP",2024-07-12,1.19157369
"GBP",2024-07-13,1.1650698
"GBP",2024-07-14,1.16273262
"GBP",2024-07-15,1.16544769
"GBP",2024-07-16,1.17414316
"GBP",2024-07-17,1.1784293
"GBP",2024-07-18,1.20562131
"GBP",2024-07-19,1.18108178
"GBP",2024-07-20,1.18136177
"GBP",2024-07-21,1.15550869
"GBP",2024-07-22,1.20627494
"GBP",2024-07-23,1.15884559
"GBP",2024-07-24,1.14334879
"GBP",2024-07-25,1.14360266
"GBP",2024-07-26,1.18719706
"GBP",2024-07-27,1.16555223
"GBP",2024-07-28,1.18301176
"GBP",2024-07-29,1.19535765
"GBP",2024-07-30,1.18925799
"GBP",2024-07-31,1.15149948
"GBP",2024-08-01,1.15704571
"GBP",2024-08-02,1.18776353
"GBP",2024-08-03,1.13139854
"GBP",2024-08-04,1.17631442
"GBP",2024-08-05,1.15202718
"GBP",2024-08-06,1.17222111
"GBP",2024-08-07,1.1374511
"GBP",2024-08-08,1.20679668
"GBP",2024-08-09,1.13546424
"GBP",2024-08-10,1.13881838
"GBP",2024-08-11,1.13187426
"GBP",2024-08-12,1.132281
"GBP",2024-08-13,1.17795406
"GBP",2024-08-14,1.20850297
"GBP",2024-08-15,1.15211814
"GBP",2024-08-16,1.13257787
"GBP",2024-08-17,1.1571121
