"GL_ACCOUNT","GL_NAME","ACCOUNT_CLASS","ACCOUNT_TYPE"
"110101","Government bonds - Investment portfolio","1","ASSET"
"110102","Corporate bonds - Investment portfolio","1","ASSET"
"110103","Treasury bills - Investment portfolio","1","ASSET"
"110104","Equities - Investment portfolio","1","ASSET"
"310101","Government bonds - Liquidity portfolio","3","ASSET"
"310102","Corporate bonds - Liquidity portfolio","3","ASSET"
"310103","Treasury bills - Liquidity portfolio","3","ASSET"
"310104","Equities - Liquidity portfolio","3","ASSET"
"330101","Government bonds - Trading portfolio","3","ASSET"
"330102","Corporate bonds - Trading portfolio","3","ASSET"
"330103","Treasury bills - Trading portfolio","3","ASSET"
"330104","Equities - Trading portfolio","3","ASSET"
"380101","Accrued interest - Government bonds - Investment","38","ASSET"
"380102","Accrued interest - Corporate bonds - Investment","38","ASSET"
"380103","Accrued interest - Treasury bills - Investment","38","ASSET"
"380201","Accrued interest - Government bonds - Liquidity","38","ASSET"
"380202","Accrued interest - Corporate bonds - Liquidity","38","ASSET"
"380203","Accrued interest - Treasury bills - Liquidity","38","ASSET"
"380301","Accrued interest - Government bonds - Trading","38","ASSET"
"380302","Accrued interest - Corporate bonds - Trading","38","ASSET"
"380303","Accrued interest - Treasury bills - Trading","38","ASSET"
"910101","Interest result - Government bonds - Investment","91","INCOME"
"910102","Interest result - Corporate bonds - Investment","91","INCOME"
"910103","Interest result - Treasury bills - Investment","91","INCOME"
"910104","Equity result - Investment","91","INCOME"
"930101","Interest result - Government bonds - Liquidity","93","INCOME"
"930102","Interest result - Corporate bonds - Liquidity","93","INCOME"
"930103","Interest result - Treasury bills - Liquidity","93","INCOME"
"930104","Equity result - Liquidity","93","INCOME"
"930201","Interest result - Government bonds - Trading","93","INCOME"
"930202","Interest result - Corporate bonds - Trading","93","INCOME"
"930203","Interest result - Treasury bills - Trading","93","INCOME"
"930204","Equity result - Trading","93","INCOME"
"390001","Cash - HUF","3","ASSET"
"390002","Cash - EUR","3","ASSET"
"390003","Cash - USD","3","ASSET"
"390004","Cash - GBP","3","ASSET"
"999999","Technical clearing account","9","TECHNICAL"
"910901","FX Revaluation Gain/Loss - Investment","9","RESULT"
"930901","FX Revaluation Gain/Loss - Liquidity","9","RESULT"
"930902","FX Revaluation Gain/Loss - Trading","9","RESULT"
"360100","Reverse repo receivable","3","ASSET"
"380400","Reverse repo accrued interest receivable","38","ASSET"
"460100","Repo liability","4","LIABILITY"
"480400","Repo accrued interest payable","48","LIABILITY"
"810400","Repo interest expense","8","EXPENSE"
"930400","Reverse repo interest income","9","INCOME"
