"INSTRUMENT_TYPE","PORTFOLIO_TYPE","ACCOUNT_PURPOSE","GL_ACCOUNT"
"Government Bond","INVESTMENT","POSITION","110101"
"Corporate Bond","INVESTMENT","POSITION","110102"
"Treasury Bill","INVESTMENT","POSITION","110103"
"Equity","INVESTMENT","POSITION","110104"
"Government Bond","LIQUIDITY","POSITION","310101"
"Corporate Bond","LIQUIDITY","POSITION","310102"
"Treasury Bill","LIQUIDITY","POSITION","310103"
"Equity","LIQUIDITY","POSITION","310104"
"Government Bond","TRADING","POSITION","330101"
"Corporate Bond","TRADING","POSITION","330102"
"Treasury Bill","TRADING","POSITION","330103"
"Equity","TRADING","POSITION","330104"
"Government Bond","INVESTMENT","ACCRUAL","380101"
"Corporate Bond","INVESTMENT","ACCRUAL","380102"
"Treasury Bill","INVESTMENT","ACCRUAL","380103"
"Government Bond","LIQUIDITY","ACCRUAL","380201"
"Corporate Bond","LIQUIDITY","ACCRUAL","380202"
"Treasury Bill","LIQUIDITY","ACCRUAL","380203"
"Government Bond","TRADING","ACCRUAL","380301"
"Corporate Bond","TRADING","ACCRUAL","380302"
"Treasury Bill","TRADING","ACCRUAL","380303"
"Government Bond","INVESTMENT","RESULT","910101"
"Corporate Bond","INVESTMENT","RESULT","910102"
"Treasury Bill","INVESTMENT","RESULT","910103"
"Equity","INVESTMENT","RESULT","910104"
"Government Bond","LIQUIDITY","RESULT","930101"
"Corporate Bond","LIQUIDITY","RESULT","930102"
"Treasury Bill","LIQUIDITY","RESULT","930103"
"Equity","LIQUIDITY","RESULT","930104"
"Government Bond","TRADING","RESULT","930201"
"Corporate Bond","TRADING","RESULT","930202"
"Treasury Bill","TRADING","RESULT","930203"
"Equity","TRADING","RESULT","930204"
