"REPO_TRANSACTION_ID","REPO_TYPE","INSTRUMENT_ID","CUSTOMER_ID","START_DATE","MATURITY_DATE","NOMINAL_AMOUNT","START_CASH_AMOUNT","MATURITY_CASH_AMOUNT","CURRENCY","REPO_RATE","DAY_COUNT_BASIS","STATUS"
2307,"REPO",903,30,2026-07-02,2026-08-11,5969000,5703183.79,5741386.88,"GBP",0.060287,"ACT/360","MATURED"
2308,"REVERSE_REPO",899,23,2025-10-20,2025-11-04,6346000,6113873.32,6128089.35,"EUR",0.055805,"ACT/360","MATURED"
2309,"REPO",897,28,2026-11-16,2027-06-26,2737000,2696330.1,2726966.03,"GBP",0.018425,"ACT/360","ACTIVE"
2310,"REVERSE_REPO",891,30,2024-01-18,2024-04-10,9420000,9124218.33,9249159.77,"GBP",0.059393,"ACT/360","MATURED"
2311,"REVERSE_REPO",881,23,2026-08-08,2027-03-10,3210000,3147426.08,3260036.02,"EUR",0.060188,"ACT/360","ACTIVE"
2312,"REPO",897,23,2025-01-10,2025-02-21,9145000,9037591.15,9053158.1,"GBP",0.014764,"ACT/360","MATURED"
2313,"REPO",885,22,2025-07-09,2025-08-24,1004000,962767.55,971502.36,"USD",0.071003,"ACT/360","MATURED"
2314,"REPO",897,2,2024-10-30,2025-07-12,6920000,6696444.31,6788526.28,"GBP",0.019413,"ACT/360","MATURED"
2315,"REVERSE_REPO",881,26,2025-03-12,2025-06-07,3061000,2940191.63,2976894.9,"EUR",0.051655,"ACT/360","MATURED"
2316,"REPO",899,28,2026-02-28,2026-03-10,5223000,5006043.02,5014870.06,"EUR",0.063478,"ACT/360","MATURED"
2317,"REPO",888,28,2024-12-05,2024-12-09,1629000,1605778.07,1606447.18,"GBP",0.037502,"ACT/360","MATURED"
2318,"REPO",898,25,2026-06-08,2026-07-25,6214000,6067919.84,6105592.15,"GBP",0.047554,"ACT/360","MATURED"
2319,"REPO",890,31,2025-02-10,2025-03-16,7507000,7280843.17,7289987.34,"EUR",0.013298,"ACT/360","MATURED"
2320,"REVERSE_REPO",903,29,2024-04-30,2024-12-28,3894000,3739812.64,3783002.91,"GBP",0.01718,"ACT/360","MATURED"
2321,"REVERSE_REPO",883,27,2026-04-21,2026-07-06,7579000,7490198.31,7569833.2,"GBP",0.051061,"ACT/365","MATURED"
2322,"REPO",891,3,2025-10-15,2026-05-26,506000,485199.48,504590.31,"GBP",0.065413,"ACT/365","MATURED"
