"TRANSACTION_ID","CUSTOMER_ID","INSTRUMENT_ID","PORTFOLIO_TYPE","TRADE_DATE","SETTLEMENT_DATE","BUY_SELL","QUANTITY","PRICE","TRANSACTION_AMOUNT","CURRENCY","TRANSACTION_TYPE","COUPON_ID","ACCRUED_INTEREST_AMOUNT","PRINCIPAL_AMOUNT","COUPON_AMOUNT","ELIGIBLE_QUANTITY"
155982,21,895,"TRADING",2026-02-25,2026-02-25,"",1059000,0,5230.68,"USD","COUPON_PAYMENT",9099,0,0,5230.68,1059000
155983,31,896,"TRADING",2026-09-17,2026-09-17,"",963000,0,59211.02,"EUR","COUPON_PAYMENT",9126,0,0,59211.02,963000
155984,25,884,"INVESTMENT",2026-06-08,2026-06-08,"",1215000,0,10582.35,"USD","COUPON_PAYMENT",8944,0,0,10582.35,1215000
155985,21,885,"TRADING",2026-08-06,2026-08-06,"",840000,0,23985.66,"USD","COUPON_PAYMENT",8961,0,0,23985.66,840000
155986,3,902,"TRADING",2026-05-31,2026-05-31,"",37000,0,1511,"EUR","COUPON_PAYMENT",9255,0,0,1511,37000
155987,2,884,"LIQUIDITY",2025-09-08,2025-09-08,"",464000,0,5594.82,"USD","COUPON_PAYMENT",8941,0,0,5594.82,464000
155988,3,903,"TRADING",2026-04-19,2026-04-19,"",16000,0,353.55,"GBP","COUPON_PAYMENT",9266,0,0,353.55,16000
155989,24,885,"TRADING",2026-02-06,2026-02-06,"",396000,0,9479.11,"USD","COUPON_PAYMENT",8960,0,0,9479.11,396000
155990,24,885,"TRADING",2026-08-06,2026-08-06,"",396000,0,11307.53,"USD","COUPON_PAYMENT",8961,0,0,11307.53,396000
155991,28,895,"LIQUIDITY",2024-05-25,2024-05-25,"",454000,0,4455.98,"USD","COUPON_PAYMENT",9092,0,0,4455.98,454000
155992,24,883,"LIQUIDITY",2024-10-31,2024-10-31,"",164000,0,2286.68,"GBP","COUPON_PAYMENT",8901,0,0,2286.68,164000
155993,27,883,"LIQUIDITY",2026-04-30,2026-04-30,"",547000,0,8987.95,"GBP","COUPON_PAYMENT",8907,0,0,8987.95,547000
155994,26,886,"INVESTMENT",2026-10-16,2026-10-16,"",2052000,0,56616.73,"HUF","COUPON_PAYMENT",8967,0,0,56616.73,2052000
155995,27,883,"LIQUIDITY",2025-01-31,2025-01-31,"",245000,0,4014.1,"GBP","COUPON_PAYMENT",8902,0,0,4014.1,245000
155996,21,895,"LIQUIDITY",2025-02-25,2025-02-25,"",465000,0,7174.38,"USD","COUPON_PAYMENT",9095,0,0,7174.38,465000
155997,21,895,"LIQUIDITY",2025-11-25,2025-11-25,"",1402000,0,15192.19,"USD","COUPON_PAYMENT",9098,0,0,15192.19,1402000
