"ISSUER_ID","ISSUER_NAME","ISSUER_COUNTRY","ISSUER_TYPE"
1,"Hungarian Government","Hungary","GOVERNMENT"
2,"German Government","Germany","GOVERNMENT"
3,"French Government","France","GOVERNMENT"
4,"United States Treasury","United States","GOVERNMENT"
5,"BMW AG","Germany","CORPORATE"
6,"Siemens AG","Germany","CORPORATE"
7,"Apple Inc.","United States","CORPORATE"
8,"Microsoft Corp.","United States","CORPORATE"
9,"Shell plc","United Kingdom","CORPORATE"
10,"Toyota Motor Corp.","Japan","CORPORATE"
